,h2,ch4,c2h6,c2h4,c2h2,act
188,820,1740,951,867,128,4
189,74,100,85,17,0.001,4
190,39.4,65.2,103.9,8.1,0.001,4
191,74.8,30.1,82.3,13.6,0.001,4
192,79,40,264,10,0.001,4
193,5,14,234,5,0.001,4
194,15,139,160,343,0.001,5
195,0.001,6,52,67,0.001,5
196,26,398,85,319,0.001,5
197,50,274,95,320,6.3,5
198,31,63,246,714,7,5
199,2,5,81,172,0.001,5
200,3,5,90,185,3,5
201,16,98,35,64,0.001,5
202,2,123,7,18,0.001,5
203,185,302,27,33,0.001,5
204,14,15,42,73,0.001,5
205,62,425,276,651,26,5
206,88.7,460.8,94.9,184.6,18.3,5
207,119,670,286,934,19,5
208,109,102,28,91,0.001,5
209,0.001,4.9,81,172,0.001,5
210,24,78,266,779,7,5
211,24,80,258,741,6,5
212,18,35,2,110,0.001,6
213,10,4,1,87,0.001,6
214,8,1,0.001,60,0.001,6
215,24,20,4,87,0.001,6
216,21,42,4,92,0.001,6
217,35,29,7,78,0.001,6
218,8,88,45,252,0.001,6
219,0.001,28,64,408,6,6
220,0.001,100,309,1365,7,6
221,0.001,106,170,871,6,6
222,86,480,155,644,9,6
223,121,450,146,898,116,6
224,0.001,3.4,0.001,54,0.001,6
225,11,13,2,127,0.001,6
226,4,2,1,63,0.001,6
227,20,26,6,55,0.001,6
228,34,174,52,361,0.001,6
229,7,31,23,148,0.001,6
230,0.001,0.001,0.001,142,0.001,6
231,89,281,145,1216,22,6
232,0.001,10,17,68,5,6
233,39,525,538,2925,16,6
234,9,47,144,628,0.001,6
235,53,189,25,295,5,6
236,12,270,0.001,275,0.001,6
237,0.001,153,130,677,13,6
238,27,51,0.001,153,0.001,6
239,0.001,0.001,9,57,0.001,6
240,32930,2397,157,0.001,0.001,1
241,37800,1740,249,8,8,1
242,8266,1061,22,0.001,0.001,1
243,9340,995,60,6,7,1
244,36036,4704,554,5,10,1
245,33046,619,58,2,0.001,1
246,40280,1069,1060,1,1,1
247,26788,18342,2111,27,0.001,1
248,92600,10200,0.001,0.001,0.001,1
249,78,20,11,13,28,2
250,305,100,33,161,541,2
251,35,6,3,26,482,2
252,543,120,41,411,1880,2
253,1230,163,27,233,692,2
254,645,86,13,110,317,2
255,60,10,4,4,4,2
256,95,10,0.001,11,39,2
257,6870,1028,79,900,5500,2
258,10092,5399,530,6500,37565,2
259,650,81,170,51,270,2
260,210,22,6,6,7,2
261,385,60,8,53,159,2
262,4230,690,5,196,1180,2
263,595,80,9,89,244,2
264,120,25,1,8,40,2
265,6454,2313,121,2159,6432,2
266,2177,1049,207,440,705,2
267,1790,580,321,336,619,2
268,1330,10,20,66,182,2
269,4,1,2,7,52,2
270,1900,285,31,957,7730,2
271,57,24,2,27,30,2
272,1000,500,1,400,500,2
273,440,89,19,304,757,3
274,210,43,12,102,187,3
275,2850,1115,138,1987,3675,3
276,7020,1850,0.001,2960,4410,3
277,545,130,16,153,239,3
278,7150,1440,97,1210,1760,3
279,620,325,38,181,244,3
280,120,31,0.001,66,94,3
281,755,229,32,404,460,3
282,5100,1430,0.001,1140,1010,3
